member_casual,month,hour_started,no_of_trips,season,time
casual,January,23,296,winter,Evening
casual,July,0,6343,Summer,Night
casual,July,1,4176,Summer,Night
casual,July,2,2522,Summer,Night
casual,July,3,1432,Summer,Night
casual,July,4,869,Summer,Night
casual,July,5,1336,Summer,Night
casual,July,6,3270,Summer,Morning
casual,July,7,5419,Summer,Morning
casual,July,8,7710,Summer,Morning
casual,July,9,9027,Summer,Morning
casual,July,10,12335,Summer,Morning
casual,July,11,16387,Summer,Morning
casual,July,12,19569,Summer,Afternoon
casual,July,13,21043,Summer,Afternoon
casual,July,14,21724,Summer,Afternoon
casual,July,15,22953,Summer,Afternoon
casual,July,16,25441,Summer,Afternoon
casual,July,17,28161,Summer,Afternoon
casual,July,18,26297,Summer,Afternoon
casual,July,19,21574,Summer,Evening
casual,July,20,17231,Summer,Evening
casual,July,21,14583,Summer,Evening
casual,July,22,12933,Summer,Evening
casual,July,23,9314,Summer,Evening
casual,June,0,5769,Summer,Night
casual,June,1,3503,Summer,Night
casual,June,2,1915,Summer,Night
casual,June,3,1019,Summer,Night
casual,June,4,772,Summer,Night
casual,June,5,1363,Summer,Night
casual,June,6,3231,Summer,Morning
casual,June,7,5780,Summer,Morning
casual,June,8,7773,Summer,Morning
casual,June,9,8230,Summer,Morning
casual,June,10,11034,Summer,Morning
casual,June,11,14656,Summer,Morning
casual,June,12,16861,Summer,Afternoon
casual,June,13,17332,Summer,Afternoon
casual,June,14,18813,Summer,Afternoon
casual,June,15,21267,Summer,Afternoon
casual,June,16,24982,Summer,Afternoon
casual,June,17,29097,Summer,Afternoon
casual,June,18,26478,Summer,Afternoon
casual,June,19,21325,Summer,Evening
casual,June,20,16829,Summer,Evening
casual,June,21,13437,Summer,Evening
casual,June,22,11966,Summer,Evening
casual,June,23,8621,Summer,Evening
casual,March,0,687,Spring,Night
casual,March,1,504,Spring,Night
casual,March,2,260,Spring,Night
casual,March,3,188,Spring,Night
casual,March,4,131,Spring,Night
casual,March,5,306,Spring,Night
casual,March,6,700,Spring,Morning
casual,March,7,1482,Spring,Morning
casual,March,8,2006,Spring,Morning
casual,March,9,1797,Spring,Morning
casual,March,10,2490,Spring,Morning
casual,March,11,3612,Spring,Morning
casual,March,12,4754,Spring,Afternoon
casual,March,13,5413,Spring,Afternoon
casual,March,14,6006,Spring,Afternoon
casual,March,15,6383,Spring,Afternoon
casual,March,16,6888,Spring,Afternoon
casual,March,17,7464,Spring,Afternoon
casual,March,18,5814,Spring,Afternoon
casual,March,19,3492,Spring,Evening
casual,March,20,2131,Spring,Evening
casual,March,21,1780,Spring,Evening
casual,March,22,1614,Spring,Evening
casual,March,23,1248,Spring,Evening
casual,May,0,4237,Spring,Night
casual,May,1,2363,Spring,Night
casual,May,2,1554,Spring,Night
casual,May,3,822,Spring,Night
casual,May,4,500,Spring,Night
casual,May,5,792,Spring,Night
casual,May,6,2017,Spring,Morning
casual,May,7,3815,Spring,Morning
casual,May,8,5580,Spring,Morning
casual,May,9,6500,Spring,Morning
casual,May,10,9216,Spring,Morning
casual,May,11,12268,Spring,Morning
casual,May,12,14535,Spring,Afternoon
casual,May,13,15196,Spring,Afternoon
casual,May,14,15478,Spring,Afternoon
casual,May,15,16965,Spring,Afternoon
casual,May,16,19370,Spring,Afternoon
casual,May,17,22200,Spring,Afternoon
casual,May,18,19146,Spring,Afternoon
casual,May,19,15042,Spring,Evening
casual,May,20,10595,Spring,Evening
casual,May,21,8695,Spring,Evening
casual,May,22,7660,Spring,Evening
casual,May,23,5686,Spring,Evening
casual,November,0,1219,Autumn,Night
casual,November,1,889,Autumn,Night
casual,November,2,440,Autumn,Night
casual,November,3,263,Autumn,Night
casual,November,4,184,Autumn,Night
casual,November,5,416,Autumn,Night
casual,November,6,1369,Autumn,Morning
casual,November,7,2415,Autumn,Morning
casual,November,8,3168,Autumn,Morning
casual,November,9,2760,Autumn,Morning
casual,November,10,3435,Autumn,Morning
casual,November,11,4027,Autumn,Morning
casual,November,12,4720,Autumn,Afternoon
casual,November,13,4685,Autumn,Afternoon
casual,November,14,5339,Autumn,Afternoon
casual,November,15,6595,Autumn,Afternoon
casual,November,16,7009,Autumn,Afternoon
casual,November,17,6792,Autumn,Afternoon
casual,November,18,5276,Autumn,Afternoon
casual,November,19,3584,Autumn,Evening
casual,November,20,2654,Autumn,Evening
casual,November,21,2476,Autumn,Evening
casual,November,22,2237,Autumn,Evening
casual,November,23,1581,Autumn,Evening
casual,October,0,2664,Autumn,Night
casual,October,1,1924,Autumn,Night
casual,October,2,1096,Autumn,Night
casual,October,3,639,Autumn,Night
casual,October,4,391,Autumn,Night
casual,October,5,770,Autumn,Night
casual,October,6,2092,Autumn,Morning
casual,October,7,3660,Autumn,Morning
casual,October,8,5273,Autumn,Morning
casual,October,9,5576,Autumn,Morning
casual,October,10,7313,Autumn,Morning
casual,October,11,9258,Autumn,Morning
casual,October,12,10983,Autumn,Afternoon
casual,October,13,11520,Autumn,Afternoon
casual,October,14,11967,Autumn,Afternoon
casual,October,15,12936,Autumn,Afternoon
casual,October,16,13725,Autumn,Afternoon
casual,October,17,14285,Autumn,Afternoon
casual,October,18,11223,Autumn,Afternoon
casual,October,19,7034,Autumn,Evening
casual,October,20,4991,Autumn,Evening
casual,October,21,4501,Autumn,Evening
casual,October,22,4302,Autumn,Evening
casual,October,23,3189,Autumn,Evening
casual,September,0,4544,Autumn,Night
casual,September,1,2858,Autumn,Night
casual,September,2,1776,Autumn,Night
casual,September,3,957,Autumn,Night
casual,September,4,583,Autumn,Night
casual,September,5,1093,Autumn,Night
casual,September,6,3224,Autumn,Morning
casual,September,7,5417,Autumn,Morning
casual,September,8,7323,Autumn,Morning
casual,September,9,7125,Autumn,Morning
casual,September,10,8806,Autumn,Morning
casual,September,11,11541,Autumn,Morning
casual,September,12,13790,Autumn,Afternoon
casual,September,13,14126,Autumn,Afternoon
casual,September,14,14959,Autumn,Afternoon
casual,September,15,16880,Autumn,Afternoon
casual,September,16,18980,Autumn,Afternoon
casual,September,17,21294,Autumn,Afternoon
casual,September,18,19473,Autumn,Afternoon
casual,September,19,13718,Autumn,Evening
casual,September,20,9294,Autumn,Evening
casual,September,21,8612,Autumn,Evening
casual,September,22,8251,Autumn,Evening
casual,September,23,6281,Autumn,Evening
member,April,0,1400,Spring,Night
member,April,1,952,Spring,Night
member,April,2,450,Spring,Night
member,April,3,318,Spring,Night
member,April,4,461,Spring,Night
member,April,5,1801,Spring,Night
member,April,6,5491,Spring,Morning
member,April,7,11139,Spring,Morning
member,April,8,13249,Spring,Morning
member,April,9,8237,Spring,Morning
member,April,10,7326,Spring,Morning
member,April,11,9044,Spring,Morning
member,April,12,10223,Spring,Afternoon
member,April,13,10111,Spring,Afternoon
member,April,14,9790,Spring,Afternoon
member,April,15,11502,Spring,Afternoon
member,April,16,15624,Spring,Afternoon
member,April,17,19465,Spring,Afternoon
member,April,18,15561,Spring,Afternoon
member,April,19,10500,Spring,Evening
member,April,20,6521,Spring,Evening
member,April,21,5127,Spring,Evening
member,April,22,3759,Spring,Evening
member,April,23,2606,Spring,Evening
member,August,0,3380,Summer,Night
member,August,1,2081,Summer,Night
member,August,2,1063,Summer,Night
member,August,3,647,Summer,Night
member,August,4,783,Summer,Night
member,August,5,3152,Summer,Night
member,August,6,10193,Summer,Morning
member,August,7,18292,Summer,Morning
member,August,8,20456,Summer,Morning
member,August,9,13785,Summer,Morning
member,August,10,13006,Summer,Morning
member,August,11,15271,Summer,Morning
member,August,12,17067,Summer,Afternoon
member,August,13,16403,Summer,Afternoon
member,August,14,16684,Summer,Afternoon
member,August,15,20690,Summer,Afternoon
member,August,16,29122,Summer,Afternoon
member,August,17,37001,Summer,Afternoon
member,August,18,30359,Summer,Afternoon
member,August,19,23262,Summer,Evening
member,August,20,16107,Summer,Evening
member,August,21,12060,Summer,Evening
member,August,22,8938,Summer,Evening
member,August,23,5399,Summer,Evening
member,December,0,1032,winter,Night
member,December,1,682,winter,Night
member,December,2,389,winter,Night
member,December,3,244,winter,Night
member,December,4,321,winter,Night
member,December,5,1141,winter,Night
member,December,6,3550,winter,Morning
member,December,7,6705,winter,Morning
member,December,8,8197,winter,Morning
member,December,9,4949,winter,Morning
member,December,10,4327,winter,Morning
member,December,11,5286,winter,Morning
member,December,12,5951,winter,Afternoon
member,December,13,5770,winter,Afternoon
member,December,14,5895,winter,Afternoon
member,December,15,7518,winter,Afternoon
member,December,16,9328,winter,Afternoon
member,December,17,10233,winter,Afternoon
member,December,18,7525,winter,Afternoon
member,December,19,5245,winter,Evening
member,December,20,3463,winter,Evening
member,December,21,2673,winter,Evening
member,December,22,2054,winter,Evening
member,December,23,1413,winter,Evening
member,February,0,439,winter,Night
member,February,1,291,winter,Night
member,February,2,223,winter,Night
member,February,3,96,winter,Night
member,February,4,213,winter,Night
member,February,5,1099,winter,Night
member,February,6,2346,winter,Morning
member,February,7,4846,winter,Morning
member,February,8,5750,winter,Morning
member,February,9,3597,winter,Morning
member,February,10,2959,winter,Morning
member,February,11,3635,winter,Morning
member,February,12,4427,winter,Afternoon
member,February,13,4346,winter,Afternoon
member,February,14,4309,winter,Afternoon
member,February,15,5168,winter,Afternoon
member,February,16,6873,winter,Afternoon
member,February,17,7928,winter,Afternoon
member,February,18,5517,winter,Afternoon
member,February,19,3752,winter,Evening
member,February,20,2281,winter,Evening
member,February,21,1811,winter,Evening
member,February,22,1301,winter,Evening
member,February,23,824,winter,Evening
member,January,0,475,winter,Night
member,January,1,310,winter,Night
member,January,2,237,winter,Night
member,January,3,115,winter,Night
member,January,4,187,winter,Night
member,January,5,1070,winter,Night
member,January,6,2223,winter,Morning
member,January,7,3984,winter,Morning
member,January,8,4597,winter,Morning
member,January,9,3120,winter,Morning
member,January,10,2870,winter,Morning
member,January,11,3537,winter,Morning
member,January,12,4126,winter,Afternoon
member,January,13,4031,winter,Afternoon
member,January,14,3962,winter,Afternoon
member,January,15,4988,winter,Afternoon
member,January,16,6401,winter,Afternoon
member,January,17,7148,winter,Afternoon
member,January,18,5195,winter,Afternoon
member,January,19,3465,winter,Evening
member,January,20,2160,winter,Evening
member,January,21,1587,winter,Evening
member,January,22,1065,winter,Evening
member,January,23,670,winter,Evening
member,July,0,3762,Summer,Night
member,July,1,2225,Summer,Night
member,July,2,1265,Summer,Night
member,July,3,741,Summer,Night
member,July,4,785,Summer,Night
member,July,5,3119,Summer,Night
member,July,6,8963,Summer,Morning
member,July,7,15834,Summer,Morning
member,July,8,17988,Summer,Morning
member,July,9,13707,Summer,Morning
member,July,10,13252,Summer,Morning
member,July,11,15913,Summer,Morning
member,July,12,18042,Summer,Afternoon
member,July,13,18049,Summer,Afternoon
member,July,14,17828,Summer,Afternoon
member,July,15,20504,Summer,Afternoon
member,July,16,27845,Summer,Afternoon
member,July,17,34343,Summer,Afternoon
member,July,18,28989,Summer,Afternoon
member,July,19,22029,Summer,Evening
member,July,20,16922,Summer,Evening
member,July,21,12993,Summer,Evening
member,July,22,9674,Summer,Evening
member,July,23,6208,Summer,Evening
member,June,0,3464,Summer,Night
member,June,1,1920,Summer,Night
member,June,2,1067,Summer,Night
member,June,3,608,Summer,Night
member,June,4,746,Summer,Night
member,June,5,3440,Summer,Night
member,June,6,9448,Summer,Morning
member,June,7,17420,Summer,Morning
member,June,8,19270,Summer,Morning
member,June,9,13146,Summer,Morning
member,June,10,12127,Summer,Morning
member,June,11,14817,Summer,Morning
member,June,12,16982,Summer,Afternoon
member,June,13,16173,Summer,Afternoon
member,June,14,16518,Summer,Afternoon
member,June,15,20354,Summer,Afternoon
member,June,16,28640,Summer,Afternoon
member,June,17,35836,Summer,Afternoon
member,June,18,29632,Summer,Afternoon
member,June,19,22113,Summer,Evening
member,June,20,16866,Summer,Evening
member,June,21,12408,Summer,Evening
member,June,22,9386,Summer,Evening
member,June,23,5877,Summer,Evening
member,March,0,921,Spring,Night
member,March,1,578,Spring,Night
member,March,2,277,Spring,Night
member,March,3,251,Spring,Night
member,March,4,336,Spring,Night
member,March,5,1732,Spring,Night
member,March,6,4549,Spring,Morning
member,March,7,9627,Spring,Morning
member,March,8,11478,Spring,Morning
member,March,9,6619,Spring,Morning
member,March,10,5798,Spring,Morning
member,March,11,6918,Spring,Morning
member,March,12,8339,Spring,Afternoon
member,March,13,8167,Spring,Afternoon
member,March,14,8264,Spring,Afternoon
member,March,15,10166,Spring,Afternoon
member,March,16,14218,Spring,Afternoon
member,March,17,17222,Spring,Afternoon
member,March,18,12518,Spring,Afternoon
member,March,19,7848,Spring,Evening
member,March,20,4917,Spring,Evening
member,March,21,3716,Spring,Evening
member,March,22,2635,Spring,Evening
member,March,23,1727,Spring,Evening
member,May,0,2891,Spring,Night
member,May,1,1661,Spring,Night
member,May,2,881,Spring,Night
member,May,3,560,Spring,Night
member,May,4,640,Spring,Night
member,May,5,2716,Spring,Night
member,May,6,7517,Spring,Morning
member,May,7,14318,Spring,Morning
member,May,8,16425,Spring,Morning
member,May,9,11640,Spring,Morning
member,May,10,11523,Spring,Morning
member,May,11,13792,Spring,Morning
member,May,12,15771,Spring,Afternoon
member,May,13,15627,Spring,Afternoon
member,May,14,15260,Spring,Afternoon
member,May,15,18114,Spring,Afternoon
member,May,16,25064,Spring,Afternoon
member,May,17,30963,Spring,Afternoon
member,May,18,25302,Spring,Afternoon
member,May,19,18342,Spring,Evening
member,May,20,12344,Spring,Evening
member,May,21,9444,Spring,Evening
member,May,22,6994,Spring,Evening
member,May,23,4495,Spring,Evening
member,November,0,1566,Autumn,Night
member,November,1,1036,Autumn,Night
member,November,2,519,Autumn,Night
member,November,3,353,Autumn,Night
member,November,4,438,Autumn,Night
member,November,5,1779,Autumn,Night
member,November,6,5916,Autumn,Morning
member,November,7,10995,Autumn,Morning
member,November,8,13284,Autumn,Morning
member,November,9,8438,Autumn,Morning
member,November,10,7424,Autumn,Morning
member,November,11,8719,Autumn,Morning
member,November,12,10058,Autumn,Afternoon
member,November,13,9958,Autumn,Afternoon
member,November,14,10188,Autumn,Afternoon
member,November,15,13313,Autumn,Afternoon
member,November,16,17525,Autumn,Afternoon
member,November,17,19452,Autumn,Afternoon
member,November,18,13829,Autumn,Afternoon
member,November,19,9531,Autumn,Evening
member,November,20,6242,Autumn,Evening
member,November,21,5370,Autumn,Evening
member,November,22,3793,Autumn,Evening
member,November,23,2493,Autumn,Evening
member,October,0,2606,Autumn,Night
member,October,1,1789,Autumn,Night
member,October,2,1002,Autumn,Night
member,October,3,578,Autumn,Night
member,October,4,574,Autumn,Night
member,October,5,2234,Autumn,Night
member,October,6,6881,Autumn,Morning
member,October,7,13236,Autumn,Morning
member,October,8,16730,Autumn,Morning
member,October,9,11716,Autumn,Morning
member,October,10,11134,Autumn,Morning
member,October,11,13631,Autumn,Morning
member,October,12,15839,Autumn,Afternoon
member,October,13,15910,Autumn,Afternoon
member,October,14,15492,Autumn,Afternoon
member,October,15,19068,Autumn,Afternoon
member,October,16,23834,Autumn,Afternoon
member,October,17,27654,Autumn,Afternoon
member,October,18,21473,Autumn,Afternoon
member,October,19,14080,Autumn,Evening
member,October,20,9806,Autumn,Evening
member,October,21,7886,Autumn,Evening
member,October,22,5982,Autumn,Evening
member,October,23,3791,Autumn,Evening
member,September,0,3285,Autumn,Night
member,September,1,2029,Autumn,Night
member,September,2,1220,Autumn,Night
member,September,3,732,Autumn,Night
member,September,4,676,Autumn,Night
member,September,5,2800,Autumn,Night
member,September,6,8796,Autumn,Morning
member,September,7,16849,Autumn,Morning
member,September,8,19588,Autumn,Morning
member,September,9,13478,Autumn,Morning
member,September,10,12429,Autumn,Morning
member,September,11,14387,Autumn,Morning
member,September,12,17239,Autumn,Afternoon
member,September,13,17076,Autumn,Afternoon
member,September,14,17059,Autumn,Afternoon
member,September,15,20648,Autumn,Afternoon
member,September,16,28093,Autumn,Afternoon
member,September,17,33978,Autumn,Afternoon
member,September,18,27827,Autumn,Afternoon
member,September,19,19391,Autumn,Evening
member,September,20,12820,Autumn,Evening
member,September,21,10356,Autumn,Evening
member,September,22,8328,Autumn,Evening
member,September,23,5130,Autumn,Evening
