member_casual,month,hour_started,no_of_trips
member,September,5,2800
member,September,6,8796
member,September,7,16849
member,September,8,19588
member,September,9,13478
member,September,10,12429
member,September,11,14387
member,September,12,17239
member,September,13,17076
member,September,14,17059
member,September,15,20648
member,September,16,28093
member,September,17,33978
member,September,18,27827
member,September,19,19391
member,September,20,12820
member,September,21,10356
member,September,22,8328
member,September,23,5130
